main_cat,sec_cat,raw_cat,section,isic_embed,isic_descr,dose,match_score
arts_and_entertainment,eatertainment,eatertainment,I,56,Food and beverage service activities,services,0.47595295310020447
arts_and_entertainment,escape_rooms,escape_rooms,Q,88,Social work activities without accommodation,services,0.25487443804740906
arts_and_entertainment,exhibition_and_trade_center,exhibition_and_trade_center,G,47,"Retail trade, except of motor vehicles and motorcycles",services,0.3404969573020935
arts_and_entertainment,glass_blowing,glass_blowing,C,31,Manufacture of furniture,manufacturing,0.21989743411540985
arts_and_entertainment,indoor_playcenter,indoor_playcenter,R,93,Sports activities and amusement and recreation activities,services,0.36187130212783813
arts_and_entertainment,internet_cafe,internet_cafe,J,63,Information service activities,services,0.37976914644241333
arts_and_entertainment,jazz_and_blues,jazz_and_blues,R,90,"Creative, arts and entertainment activities",services,0.28549230098724365
arts_and_entertainment,karaoke,karaoke,J,59,"Motion picture, video and television programme production, sound recording and music publishing activities",services,0.3162026107311249
arts_and_entertainment,laser_tag,laser_tag,S,95,Repair of computers and personal and household goods,services,0.2278667390346527
arts_and_entertainment,makerspace,makerspace,C,31,Manufacture of furniture,manufacturing,0.3113611936569214
arts_and_entertainment,marching_band,marching_band,S,94,Activities of membership organizations,services,0.24951718747615814
arts_and_entertainment,music_venue,music_venue,J,59,"Motion picture, video and television programme production, sound recording and music publishing activities",services,0.312933087348938
arts_and_entertainment,musical_band_orchestras_and_symphonies,musical_band_orchestras_and_symphonies,J,59,"Motion picture, video and television programme production, sound recording and music publishing activities",services,0.25153401494026184
arts_and_entertainment,opera_and_ballet,opera_and_ballet,R,90,"Creative, arts and entertainment activities",services,0.32314589619636536
arts_and_entertainment,paint_and_sip,paint_and_sip,R,90,"Creative, arts and entertainment activities",services,0.2639668583869934
arts_and_entertainment,paintball,paintball,R,93,Sports activities and amusement and recreation activities,services,0.2942188084125519
arts_and_entertainment,performing_arts,performing_arts,R,90,"Creative, arts and entertainment activities",services,0.5232402086257935
arts_and_entertainment,planetarium,planetarium,R,91,"Libraries, archives, museums and other cultural activities",services,0.35109251737594604
arts_and_entertainment,rodeo,rodeo,R,92,Gambling and betting activities,services,0.2516553997993469
arts_and_entertainment,salsa_club,salsa_club,S,94,Activities of membership organizations,services,0.21773572266101837
arts_and_entertainment,wildlife_sanctuary,wildlife_sanctuary,R,91,"Libraries, archives, museums and other cultural activities",services,0.47524550557136536
arts_and_entertainment,stadium_arena,stadium_arena,R,93,Sports activities and amusement and recreation activities,services,0.29783833026885986
arts_and_entertainment,studio_taping,studio_taping,J,59,"Motion picture, video and television programme production, sound recording and music publishing activities",services,0.4132833182811737
arts_and_entertainment,theaters_and_performance_venues,theaters_and_performance_venues,R,90,"Creative, arts and entertainment activities",services,0.40649330615997314
arts_and_entertainment,ticket_sales,ticket_sales,R,92,Gambling and betting activities,services,0.3980706036090851
arts_and_entertainment,virtual_reality_center,virtual_reality_center,R,90,"Creative, arts and entertainment activities",services,0.24555182456970215
arts_and_entertainment,water_park,water_park,R,93,Sports activities and amusement and recreation activities,services,0.39761996269226074
arts_and_entertainment,cinema,cinema,J,59,"Motion picture, video and television programme production, sound recording and music publishing activities",services,0.36993783712387085
arts_and_entertainment,farm,farm,A,01,"Crop and animal production, hunting and related service activities",agriculture,0.44401347637176514
arts_and_entertainment,festival,festival,R,90,"Creative, arts and entertainment activities",services,0.3434450328350067
arts_and_entertainment,social_club,social_club,S,94,Activities of membership organizations,services,0.3273898959159851
arts_and_entertainment,supernatural_reading,supernatural_reading,R,90,"Creative, arts and entertainment activities",services,0.1485225111246109
attractions_and_activities,attractions_and_activities,attractions_and_activities,R,91,"Libraries, archives, museums and other cultural activities",services,0.6320856809616089
attractions_and_activities,amusement_park,amusement_park,R,93,Sports activities and amusement and recreation activities,services,0.49828967452049255
attractions_and_activities,aquarium,aquarium,A,03,Fishing and aquaculture,agriculture,0.35453370213508606
attractions_and_activities,architecture,architecture,F,41,Construction of buildings,manufacturing,0.6345392465591431
attractions_and_activities,art_gallery,art_gallery,R,90,"Creative, arts and entertainment activities",services,0.42436331510543823
attractions_and_activities,atv_rentals_and_tours,atv_rentals_and_tours,N,77,Rental and leasing activities,services,0.3898274898529053
attractions_and_activities,axe_throwing,axe_throwing,A,02,Forestry and logging,agriculture,0.2038365751504898
attractions_and_activities,backpacking_area,backpacking_area,I,55,Accommodation,services,0.399556428194046
attractions_and_activities,beach,beach,R,93,Sports activities and amusement and recreation activities,services,0.25058484077453613
attractions_and_activities,beach_combing_area,beach_combing_area,N,81,Services to buildings and landscape activities,services,0.33994075655937195
attractions_and_activities,boat_rental_and_training,boat_rental_and_training,N,77,Rental and leasing activities,services,0.36080771684646606
attractions_and_activities,boating_places,boating_places,H,50,Water transport,services,0.36478960514068604
attractions_and_activities,bobsledding_field,bobsledding_field,R,93,Sports activities and amusement and recreation activities,services,0.37335485219955444
attractions_and_activities,botanical_garden,botanical_garden,R,91,"Libraries, archives, museums and other cultural activities",services,0.44653624296188354
attractions_and_activities,bungee_jumping_center,bungee_jumping_center,R,93,Sports activities and amusement and recreation activities,services,0.350887656211853
attractions_and_activities,canyon,canyon,R,91,"Libraries, archives, museums and other cultural activities",services,0.15669909119606018
attractions_and_activities,castle,castle,F,41,Construction of buildings,manufacturing,0.27145761251449585
attractions_and_activities,cave,cave,E,37,Sewerage,manufacturing,0.22265681624412537
attractions_and_activities,challenge_courses_center,challenge_courses_center,R,90,"Creative, arts and entertainment activities",services,0.37145185470581055
attractions_and_activities,cliff_jumping_center,cliff_jumping_center,R,93,Sports activities and amusement and recreation activities,services,0.2065088450908661
attractions_and_activities,climbing_service,climbing_service,B,09,Mining support service activities,manufacturing,0.36038482189178467
attractions_and_activities,crater,crater,E,37,Sewerage,manufacturing,0.20749709010124207
attractions_and_activities,cultural_center,cultural_center,R,91,"Libraries, archives, museums and other cultural activities",services,0.45316189527511597
attractions_and_activities,fishing_charter,fishing_charter,A,03,Fishing and aquaculture,agriculture,0.3664369583129883
attractions_and_activities,flyboarding_rental,flyboarding_rental,N,77,Rental and leasing activities,services,0.32885634899139404
attractions_and_activities,fort,fort,E,37,Sewerage,manufacturing,0.2205638289451599
attractions_and_activities,fountain,fountain,E,37,Sewerage,manufacturing,0.33411166071891785
attractions_and_activities,go_kart_track,go_kart_track,R,93,Sports activities and amusement and recreation activities,services,0.3031981587409973
attractions_and_activities,haunted_house,haunted_house,E,37,Sewerage,manufacturing,0.18428587913513184
attractions_and_activities,high_gliding_center,high_gliding_center,R,93,Sports activities and amusement and recreation activities,services,0.16404147446155548
attractions_and_activities,horseback_riding_service,horseback_riding_service,S,96,Other personal service activities,services,0.41137585043907166
attractions_and_activities,hot_air_balloons_tour,hot_air_balloons_tour,H,51,Air transport,services,0.27735182642936707
attractions_and_activities,hot_springs,hot_springs,E,36,"Water collection, treatment and supply",manufacturing,0.27348706126213074
attractions_and_activities,jet_skis_rental,jet_skis_rental,N,77,Rental and leasing activities,services,0.3383901119232178
attractions_and_activities,kiteboarding_instruction,kiteboarding_instruction,R,93,Sports activities and amusement and recreation activities,services,0.283092737197876
attractions_and_activities,lake,lake,E,36,"Water collection, treatment and supply",manufacturing,0.3163367807865143
attractions_and_activities,landmark_and_historical_building,landmark_and_historical_building,R,91,"Libraries, archives, museums and other cultural activities",services,0.5520835518836975
attractions_and_activities,lighthouse,lighthouse,F,41,Construction of buildings,manufacturing,0.1898733377456665
attractions_and_activities,lookout,lookout,N,80,Security and investigation activities,services,0.2279946655035019
attractions_and_activities,marina,marina,E,37,Sewerage,manufacturing,0.28488558530807495
attractions_and_activities,monument,monument,R,91,"Libraries, archives, museums and other cultural activities",services,0.34624457359313965
attractions_and_activities,mountain_bike_parks,mountain_bike_parks,R,93,Sports activities and amusement and recreation activities,services,0.3139735162258148
attractions_and_activities,observatory,observatory,R,91,"Libraries, archives, museums and other cultural activities",services,0.3158586621284485
attractions_and_activities,paddleboard_rental,paddleboard_rental,N,77,Rental and leasing activities,services,0.37161844968795776
attractions_and_activities,palace,palace,E,37,Sewerage,manufacturing,0.23170892894268036
attractions_and_activities,parasailing_ride_service,parasailing_ride_service,N,79,"Travel agency, tour operator, reservation service and related activities",services,0.38635268807411194
attractions_and_activities,plaza,plaza,G,47,"Retail trade, except of motor vehicles and motorcycles",services,0.24927642941474915
attractions_and_activities,rafting_kayaking_area,rafting_kayaking_area,R,93,Sports activities and amusement and recreation activities,services,0.2433217465877533
attractions_and_activities,rock_climbing_spot,rock_climbing_spot,I,55,Accommodation,services,0.2471655011177063
attractions_and_activities,ruin,ruin,E,37,Sewerage,manufacturing,0.37706005573272705
attractions_and_activities,sailing_area,sailing_area,H,50,Water transport,services,0.38215041160583496
attractions_and_activities,sand_dune,sand_dune,E,37,Sewerage,manufacturing,0.22947637736797333
attractions_and_activities,scavenger_hunts_provider,scavenger_hunts_provider,N,81,Services to buildings and landscape activities,services,0.23525787889957428
attractions_and_activities,sculpture_statue,sculpture_statue,C,23,Manufacture of other non-metallic mineral products,manufacturing,0.21723347902297974
attractions_and_activities,ski_area,ski_area,R,93,Sports activities and amusement and recreation activities,services,0.301948219537735
attractions_and_activities,skyline,skyline,F,41,Construction of buildings,manufacturing,0.2403261512517929
attractions_and_activities,sledding_rental,sledding_rental,N,77,Rental and leasing activities,services,0.319279283285141
attractions_and_activities,snorkeling_equipment_rental,snorkeling_equipment_rental,N,77,Rental and leasing activities,services,0.276905357837677
attractions_and_activities,snorkeling,snorkeling,R,93,Sports activities and amusement and recreation activities,services,0.31637436151504517
attractions_and_activities,snowboarding_center,snowboarding_center,R,93,Sports activities and amusement and recreation activities,services,0.2995415925979614
attractions_and_activities,stargazing_area,stargazing_area,N,81,Services to buildings and landscape activities,services,0.23319512605667114
attractions_and_activities,street_art,street_art,R,90,"Creative, arts and entertainment activities",services,0.355125367641449
attractions_and_activities,trail,trail,R,93,Sports activities and amusement and recreation activities,services,0.23853790760040283
attractions_and_activities,waterfall,waterfall,E,36,"Water collection, treatment and supply",manufacturing,0.3382084369659424
attractions_and_activities,surfing,surfing,R,92,Gambling and betting activities,services,0.29305770993232727
attractions_and_activities,ziplining_center,ziplining_center,R,93,Sports activities and amusement and recreation activities,services,0.31487059593200684
attractions_and_activities,zoo,zoo,R,91,"Libraries, archives, museums and other cultural activities",services,0.3407433032989502
attractions_and_activities,museum,museum,R,91,"Libraries, archives, museums and other cultural activities",services,0.4556879699230194
attractions_and_activities,park,park,R,93,Sports activities and amusement and recreation activities,services,0.31963878870010376
active_life,active_life,active_life,R,90,"Creative, arts and entertainment activities",services,0.35502272844314575
active_life,sports_and_recreation_venue,sports_and_recreation_venue,R,93,Sports activities and amusement and recreation activities,services,0.6101269125938416
active_life,sports_and_fitness_instruction,sports_and_fitness_instruction,R,93,Sports activities and amusement and recreation activities,services,0.5144870281219482
active_life,sports_club_and_league,sports_club_and_league,R,93,Sports activities and amusement and recreation activities,services,0.4270395040512085
active_life,sports_and_recreation_rental_and_services,sports_and_recreation_rental_and_services,R,93,Sports activities and amusement and recreation activities,services,0.6494553685188293
beauty_and_spa,beauty_and_spa,beauty_and_spa,N,81,Services to buildings and landscape activities,services,0.3417631983757019
beauty_and_spa,aromatherapy,aromatherapy,S,96,Other personal service activities,services,0.2783834636211395
beauty_and_spa,beauty_salon,beauty_salon,S,96,Other personal service activities,services,0.3962634801864624
beauty_and_spa,acne_treatment,acne_treatment,C,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,manufacturing,0.22390718758106232
beauty_and_spa,barber,barber,S,96,Other personal service activities,services,0.2233951985836029
beauty_and_spa,eyebrow_service,eyebrow_service,S,96,Other personal service activities,services,0.27803105115890503
beauty_and_spa,eyelash_service,eyelash_service,S,96,Other personal service activities,services,0.3053746819496155
beauty_and_spa,foot_care,foot_care,C,15,Manufacture of leather and related products,manufacturing,0.28661471605300903
beauty_and_spa,hair_extensions,hair_extensions,C,15,Manufacture of leather and related products,manufacturing,0.19457793235778809
beauty_and_spa,hair_loss_center,hair_loss_center,Q,87,Residential care activities,services,0.21089790761470795
beauty_and_spa,hair_replacement,hair_replacement,S,95,Repair of computers and personal and household goods,services,0.21498990058898926
beauty_and_spa,health_spa,health_spa,Q,86,Human health activities,services,0.320277601480484
beauty_and_spa,makeup_artist,makeup_artist,C,15,Manufacture of leather and related products,manufacturing,0.23162201046943665
beauty_and_spa,massage,massage,S,96,Other personal service activities,services,0.2443975806236267
beauty_and_spa,nail_salon,nail_salon,S,96,Other personal service activities,services,0.3597458600997925
beauty_and_spa,onsen,onsen,E,37,Sewerage,manufacturing,0.12594081461429596
beauty_and_spa,permanent_makeup,permanent_makeup,C,15,Manufacture of leather and related products,manufacturing,0.20445546507835388
beauty_and_spa,tattoo_and_piercing,tattoo_and_piercing,C,32,Other manufacturing,manufacturing,0.2683521509170532
beauty_and_spa,public_bath_houses,public_bath_houses,E,37,Sewerage,manufacturing,0.38654625415802
beauty_and_spa,teeth_whitening,teeth_whitening,Q,86,Human health activities,services,0.20449170470237732
beauty_and_spa,turkish_baths,turkish_baths,E,36,"Water collection, treatment and supply",manufacturing,0.27326399087905884
beauty_and_spa,hair_removal,hair_removal,S,96,Other personal service activities,services,0.20943769812583923
beauty_and_spa,hair_salon,hair_salon,S,96,Other personal service activities,services,0.3676709532737732
beauty_and_spa,spas,spas,S,96,Other personal service activities,services,0.34432879090309143
beauty_and_spa,skin_care,skin_care,S,96,Other personal service activities,services,0.355305016040802
beauty_and_spa,tanning_salon,tanning_salon,C,15,Manufacture of leather and related products,manufacturing,0.2961573600769043
beauty_and_spa,image_consultant,image_consultant,M,74,"Other professional, scientific and technical activities",services,0.24619421362876892
education,education,education,P,85,Education,services,0.4707649350166321
education,adult_education,adult_education,P,85,Education,services,0.4386972188949585
education,board_of_education_offices,board_of_education_offices,P,85,Education,services,0.44151413440704346
education,campus_building,campus_building,F,41,Construction of buildings,manufacturing,0.40409475564956665
education,college_counseling,college_counseling,Q,87,Residential care activities,services,0.2592684328556061
education,college_university,college_university,P,85,Education,services,0.23833858966827393
education,educational_research_institute,educational_research_institute,P,85,Education,services,0.43791234493255615
education,educational_services,educational_services,P,85,Education,services,0.5450011491775513
education,educational_camp,educational_camp,P,85,Education,services,0.41790133714675903
education,private_tutor,private_tutor,P,85,Education,services,0.20494447648525238
education,school,school,P,85,Education,services,0.3785665035247803
education,school_district_offices,school_district_offices,P,85,Education,services,0.4350817799568176
education,specialty_school,specialty_school,P,85,Education,services,0.36966294050216675
education,student_union,student_union,S,94,Activities of membership organizations,services,0.35773348808288574
education,tasting_classes,tasting_classes,C,10,Manufacture of food products,manufacturing,0.26063188910484314
education,test_preparation,test_preparation,Q,86,Human health activities,services,0.3189443349838257
education,tutoring_center,tutoring_center,P,85,Education,services,0.34548234939575195
financial_service,financial_service,financial_service,K,64,"Financial service activities, except insurance and pension funding",services,0.6390527486801147
financial_service,accountant,accountant,M,69,Legal and accounting activities,services,0.42276763916015625
financial_service,atms,atms,K,64,"Financial service activities, except insurance and pension funding",services,0.419088214635849
financial_service,bank_credit_union,bank_credit_union,K,64,"Financial service activities, except insurance and pension funding",services,0.35732096433639526
financial_service,brokers,brokers,K,66,Activities auxiliary to financial service and insurance activities,services,0.4082525372505188
financial_service,business_banking_service,business_banking_service,K,64,"Financial service activities, except insurance and pension funding",services,0.5151590704917908
financial_service,business_financing,business_financing,K,64,"Financial service activities, except insurance and pension funding",services,0.46628764271736145
financial_service,check_cashing_payday_loans,check_cashing_payday_loans,K,64,"Financial service activities, except insurance and pension funding",services,0.3725464344024658
financial_service,coin_dealers,coin_dealers,R,92,Gambling and betting activities,services,0.3247131407260895
financial_service,collection_agencies,collection_agencies,K,64,"Financial service activities, except insurance and pension funding",services,0.2887742221355438
financial_service,credit_and_debt_counseling,credit_and_debt_counseling,K,64,"Financial service activities, except insurance and pension funding",services,0.25325143337249756
financial_service,currency_exchange,currency_exchange,G,47,"Retail trade, except of motor vehicles and motorcycles",services,0.36548760533332825
financial_service,debt_relief_services,debt_relief_services,K,64,"Financial service activities, except insurance and pension funding",services,0.41710442304611206
financial_service,financial_advising,financial_advising,K,64,"Financial service activities, except insurance and pension funding",services,0.42022863030433655
financial_service,holding_companies,holding_companies,K,64,"Financial service activities, except insurance and pension funding",services,0.3762049674987793
financial_service,investment_management_company,investment_management_company,M,70,Activities of head offices; management consultancy activities,services,0.40017881989479065
financial_service,installment_loans,installment_loans,K,64,"Financial service activities, except insurance and pension funding",services,0.3468143343925476
financial_service,insurance_agency,insurance_agency,K,66,Activities auxiliary to financial service and insurance activities,services,0.4560004472732544
financial_service,investing,investing,R,92,Gambling and betting activities,services,0.37509825825691223
financial_service,money_transfer_services,money_transfer_services,K,64,"Financial service activities, except insurance and pension funding",services,0.40292754769325256
financial_service,tax_services,tax_services,M,69,Legal and accounting activities,services,0.4753655195236206
financial_service,trusts,trusts,K,64,"Financial service activities, except insurance and pension funding",services,0.27356278896331787
private_establishments_and_corporates,private_establishments_and_corporates,private_establishments_and_corporates,T,98,Undifferentiated goods- and services-producing activities of private households for own use,services,0.40233471989631653
private_establishments_and_corporates,corporate_entertainment_services,corporate_entertainment_services,N,82,"Office administrative, office support and other business support activities",services,0.4707963764667511
private_establishments_and_corporates,corporate_gift_supplier,corporate_gift_supplier,S,95,Repair of computers and personal and household goods,services,0.3039901554584503
private_establishments_and_corporates,corporate_office,corporate_office,N,82,"Office administrative, office support and other business support activities",services,0.43326252698898315
private_establishments_and_corporates,private_equity_firm,private_equity_firm,K,64,"Financial service activities, except insurance and pension funding",services,0.32956475019454956
retail,retail,retail,G,47,"Retail trade, except of motor vehicles and motorcycles",services,0.4939951002597809
retail,food,food,C,10,Manufacture of food products,manufacturing,0.38303342461586
retail,auto_parts_and_supply_store,auto_parts_and_supply_store,G,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,services,0.5113306641578674
retail,beverage_store,beverage_store,C,11,Manufacture of beverages,manufacturing,0.40428438782691956
retail,boat_parts_and_supply_store,boat_parts_and_supply_store,G,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,services,0.4316486716270447
retail,carpet_store,carpet_store,C,31,Manufacture of furniture,manufacturing,0.3764965236186981
retail,distillery,distillery,C,11,Manufacture of beverages,manufacturing,0.4216587245464325
retail,drugstore,drugstore,C,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,manufacturing,0.35818421840667725
retail,flooring_store,flooring_store,G,47,"Retail trade, except of motor vehicles and motorcycles",services,0.3371540904045105
retail,health_market,health_market,Q,86,Human health activities,services,0.4350579082965851
retail,hearing_aid_provider,hearing_aid_provider,S,95,Repair of computers and personal and household goods,services,0.29241299629211426
retail,herb_and_spice_shop,herb_and_spice_shop,G,47,"Retail trade, except of motor vehicles and motorcycles",services,0.3805406987667084
retail,honey_farm_shop,honey_farm_shop,C,32,Other manufacturing,manufacturing,0.3576635718345642
retail,meat_shop,meat_shop,C,10,Manufacture of food products,manufacturing,0.23600301146507263
retail,olive_oil,olive_oil,C,10,Manufacture of food products,manufacturing,0.2316870242357254
retail,party_supply,party_supply,I,56,Food and beverage service activities,services,0.34686362743377686
retail,pharmacy,pharmacy,C,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,manufacturing,0.5046517848968506
retail,popcorn_shop,popcorn_shop,G,47,"Retail trade, except of motor vehicles and motorcycles",services,0.2518361806869507
retail,seafood_market,seafood_market,A,03,Fishing and aquaculture,agriculture,0.38721367716789246
retail,water_store,water_store,E,36,"Water collection, treatment and supply",manufacturing,0.48144495487213135
retail,shopping,shopping,G,47,"Retail trade, except of motor vehicles and motorcycles",services,0.47710737586021423
retail,tire_shop,tire_shop,C,22,Manufacture of rubber and plastics products,manufacturing,0.4234005808830261
health_and_medical,health_and_medical,health_and_medical,Q,86,Human health activities,services,0.6411254405975342
health_and_medical,abuse_and_addiction_treatment,abuse_and_addiction_treatment,Q,87,Residential care activities,services,0.34409627318382263
health_and_medical,counseling_and_mental_health,counseling_and_mental_health,Q,87,Residential care activities,services,0.3353348672389984
health_and_medical,dental_hygienist,dental_hygienist,Q,86,Human health activities,services,0.43524205684661865
health_and_medical,dentist,dentist,Q,86,Human health activities,services,0.3467325270175934
health_and_medical,diagnostic_services,diagnostic_services,S,95,Repair of computers and personal and household goods,services,0.4807659089565277
health_and_medical,doctor,doctor,Q,86,Human health activities,services,0.33691883087158203
health_and_medical,abortion_clinic,abortion_clinic,Q,86,Human health activities,services,0.31501153111457825
health_and_medical,acupuncture,acupuncture,Q,86,Human health activities,services,0.1828261911869049
health_and_medical,aesthetician,aesthetician,F,41,Construction of buildings,manufacturing,0.2937338054180145
health_and_medical,alcohol_and_drug_treatment_center,alcohol_and_drug_treatment_center,Q,87,Residential care activities,services,0.3790309429168701
health_and_medical,alternative_medicine,alternative_medicine,C,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,manufacturing,0.3045564293861389
health_and_medical,ambulance_and_ems_services,ambulance_and_ems_services,M,75,Veterinary activities,services,0.4415004253387451
health_and_medical,animal_assisted_therapy,animal_assisted_therapy,M,75,Veterinary activities,services,0.5277629494667053
health_and_medical,assisted_living_facility,assisted_living_facility,Q,87,Residential care activities,services,0.47036200761795044
health_and_medical,ayurveda,ayurveda,C,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,manufacturing,0.24189427495002747
health_and_medical,behavior_analyst,behavior_analyst,N,80,Security and investigation activities,services,0.3335258960723877
health_and_medical,blood_and_plasma_donation_center,blood_and_plasma_donation_center,Q,86,Human health activities,services,0.2987860441207886
health_and_medical,body_contouring,body_contouring,Q,86,Human health activities,services,0.19986318051815033
health_and_medical,cancer_treatment_center,cancer_treatment_center,Q,87,Residential care activities,services,0.33206555247306824
